Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange,Country_Region
11304534,134732,531659,3427,6111195,100853,Worldwide
32951,279,864,38,19366,202,Afghanistan
2893,74,76,2,1657,20,Albania
15941,441,952,6,11492,311,Algeria
0,0,0,0,0,0,American Samoa
855,0,52,0,800,0,Andorra
328,-18,18,-1,107,0,Angola
3,0,0,0,3,0,Anguilla
69,0,3,0,22,0,Antigua and Barbuda
77802,2439,1507,26,25917,706,Argentina
28606,706,484,7,16140,205,Armenia
105,0,3,0,98,0,Aruba
8449,87,104,0,7399,80,Australia
18280,115,706,1,16615,8,Austria
20324,523,250,9,11742,451,Azerbaijan
104,0,11,0,77,0,Bahamas
29367,510,97,1,23959,0,Bahrain
162417,2738,2052,55,72625,1904,Bangladesh
97,0,7,0,90,0,Barbados
63554,284,423,5,50871,202,Belarus
61838,0,9771,0,17091,0,Belgium
30,0,2,0,19,0,Belize
1199,0,21,0,333,0,Benin
146,0,9,0,134,0,Bermuda
80,1,0,0,51,0,Bhutan
39297,1226,1434,56,11272,506,Bolivia
2,0,0,0,2,0,Bonaire
4962,0,191,0,2550,0,Bosnia and Herz.
227,0,1,0,28,0,Botswana
1603055,26051,64867,602,978615,0,Brazil
8,0,1,0,7,0,British Virgin Islands
141,0,3,0,138,0,Brunei
5677,180,241,2,2898,6,Bulgaria
987,0,53,0,852,0,Burkina Faso
170,0,1,0,115,0,Burundi
1421,0,16,0,654,0,Cape Verde
141,0,0,0,131,0,Cambodia
13711,0,328,0,11114,0,Cameroon
105535,219,8684,10,69239,249,Canada
201,0,1,0,193,0,Cayman Islands
3969,0,48,0,914,0,Central African Rep.
871,0,74,0,786,0,Chad
295532,3685,6308,116,261032,3587,Chile
83553,8,4634,0,78516,7,China
117110,3721,4064,122,46563,1229,Colombia
311,2,7,0,241,0,Comoros
7411,32,182,0,3184,223,Dem. Rep. Congo
4621,0,18,0,1721,0,Costa Rica
10772,310,74,2,4807,0,Côte d'Ivoire
3151,57,113,0,2196,13,Croatia
2372,3,86,0,2229,2,Cuba
25,0,1,0,23,0,Curaçao
108,0,4,0,104,0,Cyprus
12515,75,350,-1,7864,12,Czech Rep.
13063,16,606,0,11817,0,Denmark
4736,0,55,0,4580,0,Djibouti
18,0,0,0,18,0,Dominica
38128,703,804,10,18943,341,Dominican Rep.
61958,423,4781,12,5900,0,Ecuador
75253,1218,3343,63,20103,0,Egypt
8027,250,223,6,4573,139,El Salvador
3071,0,51,0,842,0,Eq. Guinea
203,0,0,0,53,0,Eritrea
1993,0,69,0,1870,0,Estonia
909,0,13,0,515,0,Swaziland
5846,0,103,0,2430,0,Ethiopia
13,0,0,0,13,0,Falkland Is.
187,0,0,0,187,0,Faroe Is.
18,0,0,0,18,0,Fiji
7253,-4,329,0,6700,0,Finland
166960,0,29893,0,77060,0,France
62,0,0,0,60,0,French Polynesia
5620,0,44,0,2555,0,Gabon
72,0,0.0,0.0,0.0,0.0,Gaza Strip
951,3,15,0,821,0,Georgia
196335,239,9012,2,181651,349,Germany
20085,697,122,5,14870,540,Ghana
178,0,0,0,176,0,Gibraltar
3519,8,192,0,1374,0,Greece
13,0,0,0,13,0,Greenland
23,0,0,0,23,0,Grenada
303,2,5,0,179,0,Guam
23248,747,947,27,3330,0,Guatemala
252,0,13,0,238,0,Guernsey
5521,0,33,0,4446,0,Guinea
1765,0,25,0,676,0,Guinea-Bissau
273,1,14,0,120,3,Guyana
6294,64,113,3,1408,122,Haiti
23943,1022,639,10,2387,137,Honduras
1269,10,7,0,1156,11,香港
4183,9,589,0,2811,27,Hungary
1866,3,10,0,1832,0,Iceland
673165,23499,19268,589,409082,14671,India
63749,1607,3171,82,29105,886,Indonesia
240438,2560,11571,163,201330,2381,Iran
60479,2125,2473,105,33017,1940,Iraq
25527,18,1741,0,23349,0,Ireland
336,0,24,0,312,0,Isle of Man
30162,926,332,2,17916,100,Israel
241611,192,34861,7,109039,0,Italy
728,0,10,0,569,4,Jamaica
19522,240,977,0,17050,91,Japan
323,2,31,0,301,0,Jersey
1164,17,10,0,942,45,Jordan
47171,1452,188,0,15556,280,Kazakhstan
7886,309,160,1,2287,51,Kenya
3508,152,75,9,1707,0,Kosovo
49941,638,368,3,40463,520,Kuwait
7377,283,88,10,2802,88,Kyrgyzstan
19,0,0,0,19,0,Lao PDR
1124,1,30,0,1000,0,Latvia
1873,18,36,1,1311,7,Lebanon
63,0,0,0,11,0,Lesotho
833,0,37,0,346,0,Liberia
989,71,27,0,258,28,Libya
83,0,1,0,80,0,Liechtenstein
1836,5,79,0,1545,0,Lithuania
4522,46,110,0,4016,0,Luxembourg
46,0,0,0,45,0,Macao SAR
2941,215,32,6,1108,51,Madagascar
1742,129,19,2,317,0,Malawi
8663,5,121,0,8465,4,Malaysia
2435,0,10,0,2030,0,Maldives
2303,0,118,0,1516,0,Mali
672,0,9,0,650,0,Malta
4827,0,129,0,1805,0,Mauritania
341,0,10,0,330,0,Mauritius
256848,4683,30639,273,152309,5104,Mexico
17814,142,585,5,10718,322,Moldova
108,1,4,0,95,0,Monaco
220,0,0,0,175,0,Mongolia
663,0,13,0,315,0,Montenegro
11,0,1,0,10,0,Montserrat
14132,310,234,2,9410,81,Morocco
939,0,6,0,249,0,Mozambique
306,0,6,0,237,0,Myanmar
412,37,0,0,25,0,Namibia
15784,293,34,0,6547,132,Nepal
50335,0,6113,0,3459,0,Netherlands
21,0,0,0,21,0,New Caledonia
1183,3,22,0,1140,0,New Zealand
2182,-337,83,0,1750,512,Nicaragua
1088,6,68,0,965,2,Niger
28711,544,645,11,11462,393,Nigeria
7046,114,341,7,3027,40,Macedonia
31,0,2,0,19,0,Northern Mariana Islands
8930,3,251,0,8138,0,Norway
46178,1072,213,10,27917,949,Oman
228474,2651,4712,93,129830,4736,Pakistan
38149,1166,747,27,17761,816,Panama
11,0,0,0,8,0,Papua New Guinea
2427,42,20,0,1134,0,Paraguay
302718,3638,10589,177,189621,0,Peru
44254,2424,1297,7,11942,489,Philippines
35950,231,1517,5,23746,619,Poland
43897,328,1614,9,29017,245,Portugal
7687,0,155,0,1119,0,Puerto Rico
99799,616,128,5,92284,1897,Qatar
28973,391,1750,19,20026,172,Romania
681251,6736,10161,134,450750,3871,Russia
1092,11,3,0,523,11,Rwanda
3,0,0,0,3,0,Saba
22,0,0,0,19,0,Saint Lucia
1,0,0,0,1,0,Saint Pierre and Miquelon
698,0,42,0,656,0,San Marino
719,0,13,0,267,0,São Tomé and Príncipe
209509,3580,1916,58,145235,1979,Saudi Arabia
7400,128,60,1,4870,157,Senegal
16131,302,311,5,13064,600,Serbia
81,0,0,0,11,0,Seychelles
1542,9,62,0,1051,0,Sierra Leone
44800,136,26,0,40117,348,Singapore
1765,1,28,0,1466,0,Slovakia
1700,21,111,0,1376,0,Slovenia
2961,0,92,0,973,0,Somalia
196750,8773,3199,173,93315,2088,South Africa
13137,46,284,1,11832,21,Korea
2021,0,38,0,333,0,S. Sudan
250545,21854,28385,1281,150376,9553,Spain
2074,5,11,0,1885,0,Sri Lanka
15,0,0,0,15,0,St Kitts and Nevis
9767,52,608,4,4673,49,Sudan
594,29,14,0,276,0,Suriname
73017,433,5420,1,4971,0,Sweden
32268,2209,1686,-143,29200,0,Switzerland
328,0,10,0,123,0,Syria
449,0,7,0,438,0,台湾
6159,0,52,0,4809,0,Tajikistan
3190,5,58,0,3071,5,Thailand
49,0,2,0,27,0,The Gambia
24,0,0,0,24,0,Timor-Leste
676,5,15,1,432,8,Togo
130,0,8,0,115,0,Trinidad and Tobago
1188,7,50,0,1048,3,Tunisia
205758,1148,5225,19,180680,1188,Turkey
48,1,2,0,11,0,Turks and Caicos Islands
111,0,6,0,64,0,U.S. Virgin Islands
911,0,0,0,849,0,Uganda
49043,543,1262,13,21376,261,Ukraine
51540,683,323,2,40297,440,United Arab Emirates
285416,516,44236,16,1918,0,United Kingdom
2846152,43003,119464,212,875994,4471,United States
952,-3,28,0,837,0,Uruguay
10020,312,34,3,6446,21,Uzbekistan
12,0,0,0,12,0,Vatican City
7169,419,64,2,2100,0,Venezuela
367,2,0,0,340,0,Vietnam
4205,442,0.0,0.0,0.0,0.0,West Bank
1248,8,337,2,537,1,Yemen
1632,0,30,0,1348,0,Zambia
625,0,7,0,176,0,Zimbabwe
